factorial5 , comp , mcrl2 , 0 , 0.10 , 4080 , 80
factorial5 , exec , mcrl2 , 0 , 0.10 , 4080 , 80
factorial5 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
factorial5 , exec , mcrl2-jittyc , 0 , 9.51 , 10076 , 1796
factorial6 , comp , mcrl2 , 0 , 0.10 , 4080 , 80
factorial6 , exec , mcrl2 , 0 , 0.10 , 4080 , 80
factorial6 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
factorial6 , exec , mcrl2-jittyc , 0 , 9.61 , 10076 , 1896
factorial7 , comp , mcrl2 , 0 , 0.10 , 4080 , 76
factorial7 , exec , mcrl2 , kill-11 , 0.10 , 4080 , 76
factorial7 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
factorial7 , exec , mcrl2-jittyc , 0 , 9.61 , 10076 , 1884
factorial8 , comp , mcrl2 , 0 , 0.10 , 4080 , 76
factorial8 , exec , mcrl2 , kill-11 , 0.10 , 4080 , 80
factorial8 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
factorial8 , exec , mcrl2-jittyc , kill-11 , 9.71 , 10076 , 1912
factorial9 , comp , mcrl2 , 0 , 0.10 , 4080 , 80
factorial9 , exec , mcrl2 , kill-11 , 0.10 , 4080 , 80
factorial9 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
factorial9 , exec , mcrl2-jittyc , kill-11 , 9.81 , 10076 , 1800
fib32 , comp , mcrl2 , 0 , 0.10 , 4080 , 76
fib32 , exec , mcrl2 , timeout , 140.10 , 10076 , 1852
fib32 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
fib32 , exec , mcrl2-jittyc , 0 , 19.91 , 10076 , 1800
fibfree , comp , mcrl2 , 0 , 0.20 , 10076 , 1844
fibfree , exec , mcrl2 , 0 , 0.10 , 4080 , 80
fibfree , comp , mcrl2-jittyc , 0 , 0.20 , 10076 , 1852
fibfree , exec , mcrl2-jittyc , 0 , 18.02 , 10076 , 1776
fibonacci05 , comp , mcrl2 , 0 , 0.10 , 4080 , 80
fibonacci05 , exec , mcrl2 , 0 , 0.10 , 4080 , 76
fibonacci05 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
fibonacci05 , exec , mcrl2-jittyc , 0 , 11.01 , 10076 , 1900
fibonacci18 , comp , mcrl2 , 0 , 0.10 , 4080 , 76
fibonacci18 , exec , mcrl2 , 0 , 0.20 , 10076 , 1912
fibonacci18 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
fibonacci18 , exec , mcrl2-jittyc , 0 , 9.61 , 10076 , 1800
fibonacci19 , comp , mcrl2 , 0 , 0.10 , 4080 , 76
fibonacci19 , exec , mcrl2 , 0 , 0.20 , 10076 , 1852
fibonacci19 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
fibonacci19 , exec , mcrl2-jittyc , 0 , 9.61 , 10076 , 1892
fibonacci20 , comp , mcrl2 , 0 , 0.10 , 4080 , 76
fibonacci20 , exec , mcrl2 , kill-11 , 0.20 , 10076 , 1888
fibonacci20 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
